file,document_id,published,section,genre,authors,words,headline_en,url
2025-05-09_gesellschaft_he-says-he-s-not-gangster-us_ld1882781,1882781,2025-05-09,Gesellschaft,,Flurin Clalüna,1816,He says he's not a gangster. The US government says he's lying. How a deported immigrant became the face of Donald Trump's immigration policy,https://www.nzz.ch/gesellschaft/von-trumps-usa-bis-el-salvador-wer-ist-kilmar-abrego-garcia-ld.1882781
2025-10-11_nzz-am-sonntag-magazin_redefinition-photography-studio-visit-dayanita-singh-delhi_ld1906052,1906052,2025-10-11,NZZ am Sonntag Magazin,,Susanna Koeberle,2259,The redefinition of photography - a studio visit with Dayanita Singh in Delhi,https://www.nzz.ch/nzz-am-sonntag-magazin/die-neudefinition-der-fotografie-ein-atelierbesuch-bei-dayanita-singh-in-delhi-ld.1906052
2025-08-29_folio_what-it-sounds-like-when-glacier-dies_ld1896852,1896852,2025-08-29,Folio,,"Theresa Tröndle (text), Bruno Augsburger (images)",2233,What it sounds like when a glacier dies,https://www.nzz.ch/folio/der-morteratschgletscher-schmilzt-ludwig-berger-haelt-fest-wie-das-klingt-ld.1896852
2024-09-17_wissenschaft_russian-scientist-travels-west-conduct-research-colleagues_ld1844050,1844050,2024-09-17,Wissenschaft,,"Andrew Müller (text), Florian Generotzky (images)",2373,A Russian scientist travels to the West to conduct research with colleagues – risking everything in the process. Our reporter accompanied her.,https://www.nzz.ch/wissenschaft/der-eiserne-vorhang-im-labor-wie-russische-wissenschafter-die-sanktionen-umgehen-ld.1844050
2026-08-22_wissenschaft_when-crude-oil-enters-sea-off-oman_ld10019954,10019954,2026-08-22,Wissenschaft,,Georg Rüschemeyer,1497,"When crude oil enters the sea off Oman, it is always an ecological catastrophe – what research has learned from past disasters",https://www.nzz.ch/wissenschaft/wenn-wie-jetzt-vor-oman-rohoel-ins-meer-gelangt-ist-das-immer-eine-oekologische-katastrophe-was-die-forschung-aus-vergangenen-ungluecken-gelernt-hat-ld.10019954
2025-12-13_reisen_swimming-crater-killed-dinosaurs-what-extinguished-life_ld1915019,1915019,2025-12-13,Reisen,,Alexandra von Ascheraden,2383,Swimming in the crater that killed the dinosaurs: What extinguished life made humankind possible. A journey to the place of our origin.,https://www.nzz.ch/reisen/was-drei-viertel-des-lebens-ausloeschte-machte-den-menschen-erst-moeglich-eine-reise-an-den-ort-unserer-entstehung-ld.1915019
2026-04-05_panorama_evening-berlin-s-most-dangerous-park-dealers_ld1927432,1927432,2026-04-05,Panorama,,"Kathrin Klette, Berlin",1921,"An evening in Berlin's most dangerous park: Dealers whisper, «Do you want marijuana?»",https://www.nzz.ch/panorama/goerlitzer-park-in-berlin-dealer-proteste-und-ein-umstrittener-zaun-ld.1927432
2026-08-07_mobilitaet_quiet-giant-china-s-geely-group-conquered_ld10018163,10018163,2026-08-07,Mobilität,,Herbie Schmidt,1450,The quiet giant: how China's Geely Group conquered Europe's car market from within,https://www.nzz.ch/mobilitaet/der-leise-gigant-wie-chinas-geely-konzern-europas-automarkt-von-innen-heraus-erobert-ld.10018163
2025-02-23_sport-ski_unique-as-athlete-as-person-mikaela-shiffrin_ld1860022,1860022,2025-02-23,Sport,,Remo Geisser,1751,Unique as an athlete and as a person – Mikaela Shiffrin breaks all boundaries with her 100th World Cup victory,https://www.nzz.ch/sport/ski/ski-phaenomen-mikaela-shiffrin-100-siege-und-persoenliche-einblicke-ld.1860022
2025-06-10_english_murders-sabotage-drone-attacks-ukraine-s-security_ld1888144,1888144,2025-06-10,NZZ in English,International View,Andreas Rüesch,1649,"With murders, sabotage and drone attacks, Ukraine's security service stays step ahead of Russia",https://www.nzz.ch/english/behind-ukraines-secret-operations-and-sabotage-ld.1888144
2025-06-06_english_no-more-boozing-boost-career-alcohol-consumption_ld1887552,1887552,2025-06-06,NZZ in English,International View,Katrin Büchenbacher,2379,No more boozing to boost a career? Why alcohol consumption in China is tumbling,https://www.nzz.ch/english/chinas-once-famous-drinking-culture-is-drying-out-ld.1887552
2025-09-29_meinung_greatest-danger-west-comes-west-itself-society_ld1904443,1904443,2025-09-29,Meinung,Kommentar,Thomas Ribi,1515,The greatest danger to the West comes from the West itself: from a society that no longer appreciates the value of freedom because it takes it for granted,https://www.nzz.ch/meinung/die-groesste-gefahr-fuer-den-westen-geht-vom-westen-aus-von-einer-gesellschaft-die-den-wert-der-freiheit-nicht-mehr-schaetzt-weil-sie-sie-fuer-selbstverstaendlich-haelt-ld.1904443
